"DATETIME";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";"null"
"27.02.2026 16:00";"-4.9";"758.3";"774.0";"-0.3";"74";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-8.9";"";"";"";"";"";"";
"27.02.2026 13:00";"-5.8";"758.6";"774.4";"0.1";"80";"Ветер, дующий с юга";"1";"2";"3";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-8.8";"";"";"";"";"";"";
"27.02.2026 10:00";"-7.5";"758.5";"774.2";"-0.1";"85";"Ветер, дующий с юго-запада";"1";"2";"2";"100%.";" ";"";"";"-9.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-9.6";"";"";"";"";"";"";
"27.02.2026 07:00";"-8.6";"758.6";"774.4";"0.1";"88";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-8.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-10.2";"4.0";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"90.0";
"27.02.2026 04:00";"-7.5";"758.5";"774.2";"0.0";"88";"Ветер, дующий с юго-запада";"1";"2";"3";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-9.2";"";"";"";"";"";"";
"27.02.2026 01:00";"-7.2";"758.5";"774.3";"-0.1";"88";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-8.9";"";"";"";"";"";"";
"26.02.2026 22:00";"-7.0";"758.6";"774.4";"-0.2";"88";"Ветер, дующий с юга";"1";"3";"5";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-8.7";"";"";"";"";"";"";
"26.02.2026 19:00";"-7.0";"758.8";"774.5";"0.2";"87";"Ветер, дующий с юго-юго-востока";"3";"4";"5";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-6.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-8.8";"3.0";"12";"";"";"";"";
"26.02.2026 16:00";"-6.6";"758.6";"774.4";"0.2";"87";"Ветер, дующий с юго-юго-востока";"3";"4";"4";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-8.5";"";"";"";"";"";"";
"26.02.2026 13:00";"-7.3";"758.4";"774.1";"0.3";"84";"Ветер, дующий с юго-востока";"2";"3";"4";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-9.6";"";"";"";"";"";"";
"26.02.2026 10:00";"-8.3";"758.1";"773.9";"0.3";"74";"Ветер, дующий с юго-юго-востока";"2";"3";"4";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"10.0";"-12.1";"";"";"";"";"";"";
"26.02.2026 07:00";"-9.4";"757.8";"773.7";"0.2";"85";"Ветер, дующий с юго-востока";"3";"4";"4";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-11.5";"2.0";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"87.0";
"26.02.2026 04:00";"-9.2";"757.6";"773.5";"0.3";"86";"Ветер, дующий с юго-востока";"2";"3";"3";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-11.1";"";"";"";"";"";"";
"26.02.2026 01:00";"-9.3";"757.3";"773.2";"0.3";"86";"Ветер, дующий с востоко-юго-востока";"2";"2";"3";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-11.2";"";"";"";"";"";"";
"25.02.2026 22:00";"-8.8";"757.0";"772.9";"0.3";"71";"Ветер, дующий с юго-юго-востока";"3";"3";"5";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-13.2";"";"";"";"";"";"";
"25.02.2026 19:00";"-8.5";"756.7";"772.5";"0.6";"63";"Ветер, дующий с юга";"1";"2";"5";"100%.";" ";"";"";"";"-7.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-14.3";"Осадков нет";"12";"";"";"";"";
"25.02.2026 16:00";"-7.6";"756.1";"771.9";"-0.1";"57";"Ветер, дующий с юга";"2";"4";"6";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-14.8";"";"";"";"";"";"";
"25.02.2026 13:00";"-8.4";"756.2";"772.0";"-0.1";"59";"Ветер, дующий с юго-юго-востока";"4";"5";"5";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-15.0";"";"";"";"";"";"";
"25.02.2026 10:00";"-11.5";"756.3";"772.3";"0.2";"67";"Ветер, дующий с юго-востока";"3";"4";"5";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-16.5";"";"";"";"";"";"";
"25.02.2026 07:00";"-13.2";"756.1";"772.3";"0.0";"73";"Ветер, дующий с востоко-юго-востока";"3";"4";"5";"100%.";" ";"";"";"-13.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-17.1";"Осадков нет";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"86.0";
"25.02.2026 04:00";"-12.4";"756.1";"772.2";"-0.4";"72";"Ветер, дующий с юго-востока";"3";"4";"5";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-16.4";"";"";"";"";"";"";
"25.02.2026 01:00";"-12.3";"756.5";"772.6";"0.2";"72";"Ветер, дующий с юго-востока";"3";"4";"5";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-16.3";"";"";"";"";"";"";
"24.02.2026 22:00";"-10.3";"756.3";"772.3";"0.2";"65";"Ветер, дующий с юга";"3";"4";"6";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-15.7";"";"";"";"";"";"";
"24.02.2026 19:00";"-11.4";"756.1";"772.1";"0.7";"70";"Ветер, дующий с юго-юго-востока";"4";"5";"";"20–30%.";" ";"";"";"";"-6.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-15.9";"Осадков нет";"12";"";"";"";"";
"24.02.2026 16:00";"-8.9";"755.4";"771.2";"0.6";"64";"Ветер, дующий с юго-юго-востока";"6";"7";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-14.5";"";"";"";"";"";"";
"24.02.2026 13:00";"-7.4";"754.8";"770.5";"0.6";"54";"Ветер, дующий с юга";"4";"6";"8";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-15.1";"";"";"";"";"";"";
"24.02.2026 10:00";"-9.5";"754.2";"770.0";"1.2";"61";"Ветер, дующий с юго-юго-запада";"3";"6";"7";"70 – 80%.";" ";"";"";"-10.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-15.7";"";"";"";"";"";"";
"24.02.2026 07:00";"-9.9";"753.0";"768.9";"0.8";"65";"Ветер, дующий с юго-юго-запада";"2";"5";"6";"70 – 80%.";" ";"";"";"-9.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-15.3";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"85.0";
"24.02.2026 04:00";"-8.6";"752.2";"768.0";"0.9";"61";"Ветер, дующий с юго-запада";"2";"7";"8";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-14.8";"";"";"";"";"";"";
"24.02.2026 01:00";"-7.6";"751.3";"767.0";"0.7";"64";"Ветер, дующий с юго-юго-запада";"3";"8";"8";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-13.3";"";"";"";"";"";"";
"23.02.2026 22:00";"-6.6";"750.6";"766.2";"0.8";"67";"Ветер, дующий с юго-юго-запада";"3";"6";"8";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-11.8";"";"";"";"";"";"";
"23.02.2026 19:00";"-6.5";"749.8";"765.4";"0.6";"71";"Ветер, дующий с юго-юго-запада";"3";"6";"8";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-6.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-10.9";"1.0";"12";"";"";"";"";
"23.02.2026 16:00";"-6.8";"749.2";"764.8";"0.4";"83";"Ветер, дующий с юго-юго-запада";"3";"7";"9";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-9.2";"";"";"";"";"";"";
"23.02.2026 13:00";"-7.9";"748.8";"764.5";"0.4";"70";"Ветер, дующий с юга";"3";"7";"";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-12.4";"";"";"";"";"";"";
"23.02.2026 10:00";"-11.2";"748.4";"764.3";"-0.2";"76";"Ветер, дующий с юга";"6";"";"11";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-14.7";"";"";"";"";"";"";
"23.02.2026 07:00";"-13.2";"748.6";"764.6";"-1.7";"79";"Ветер, дующий с юго-юго-востока";"7";"9";"10";"100%.";" ";"";"";"-17.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-16.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"84.0";
"23.02.2026 04:00";"-13.9";"750.3";"766.3";"-1.3";"81";"Ветер, дующий с юго-юго-востока";"6";"";"7";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-16.5";"";"";"";"";"";"";
"23.02.2026 01:00";"-15.5";"751.6";"767.8";"-0.6";"84";"Ветер, дующий с юго-юго-востока";"4";"5";"5";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-17.6";"";"";"";"";"";"";
"22.02.2026 22:00";"-16.7";"752.2";"768.6";"0.1";"82";"Ветер, дующий с юго-юго-востока";"1";"2";"3";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"10.0";"-19.1";"";"";"";"";"";"";
"22.02.2026 19:00";"-16.7";"752.1";"768.4";"0.4";"85";"Ветер, дующий с юго-юго-востока";"1";"2";"3";"70 – 80%.";" ";"";"";"";"-10.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-18.7";"Следы осадков";"12";"";"";"";"";
"22.02.2026 16:00";"-12.0";"751.7";"767.7";"0.5";"72";"Ветер, дующий с юга";"1";"2";"3";"40%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-16.0";"";"";"";"";"";"";
"22.02.2026 13:00";"-11.9";"751.2";"767.2";"0.7";"83";"Ветер, дующий с северо-запада";"1";"2";"2";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-14.3";"";"";"";"";"";"";
"22.02.2026 10:00";"-16.7";"750.5";"766.8";"1.6";"82";"Ветер, дующий с западо-северо-запада";"1";"1";"2";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-19.1";"";"";"";"";"";"";
"22.02.2026 07:00";"-19.7";"748.9";"765.4";"0.9";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-20.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-22.2";"Следы осадков";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"84.0";
"22.02.2026 04:00";"-16.3";"748.0";"764.1";"1.0";"83";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"4.0";"-18.6";"";"";"";"";"";"";
"22.02.2026 01:00";"-14.9";"747.0";"763.0";"0.6";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-17.1";"";"";"";"";"";"";
